"profile","pro_lat","pro_long","MeanAge20cm","MeanAge40cm","MeanAge60cm","MeanAge80cm","MeanAge100cm","TransitTime_20","TransitTime_40","TransitTime_60","TransitTime_80","TransitTime_100","Biome"
"Waldheim_-106.6_52.6",52.6,-106.6,239.997135822184,950.785602818534,3792.6727817551,7281.88948817372,NA,29.5,56.5,97.7,142.9,174.7,"Crops"
"Quinton_-104.4_51.4",51.4,-104.4,175.343147703199,181.509573596425,181.509573596425,181.509573596425,181.509573596425,29.5,58.3,102.2,139.5,145.5,"Crops"
"Matador_-107.899323_50.798452",50.798452,-107.899323,437.544198418396,NA,NA,NA,NA,25.9,45.4,65.9,79.7,89.8,"Crops"
"Mattole_-124.349_40.283",40.283,-124.349,299.302880539104,299.302880539104,299.302880539104,299.302880539104,299.302880539104,43.3,86.6,122.4,132.6,108.1,"Mediterranean/Montane shrublands"
"Ka??ala_-158.144467_21.506278",21.506278,-158.144467,9500.01810904096,9838.60893435246,12050.4310511446,16013.2273321299,23457.5427973195,24.6,49.6,77.5,86.5,80,"Tropical/Subtropical forests"
"Ka??ala_-158.14647_21.50512",21.50512,-158.14647,1514.02618274349,7070.62506152362,9631.93858678851,9734.10559599399,11457.7195635799,24.6,49.6,77.5,86.5,80,"Tropical/Subtropical forests"
"Bavarian forest_12.253222_49.034917",49.034917,12.253222,2.87174528867702,313.917825637946,314.115150628975,314.115150628975,314.115150628975,64,92.6,199.4,171.6,151.4,"Crops"
"Empire-Cienega:31.7528,-110.6278_-110.6278_31.7528",31.7528,-110.6278,186.921142467569,303.988568237018,303.988568237018,NA,NA,16.9,33.5,57,94.3,132.9,"Deserts"
"Capitao Poco:-1.73,-47.15_-47.15_-1.73",-1.73,-47.15,117.179444160064,267.286418353635,267.286418353635,267.286418353635,267.286418353635,18.3,26.8,32,30.9,28,"Crops"
"barranca Puente el Muerto:19.7043,-98.8001_-98.7628_19.6925",19.6925,-98.7628,1054.29982850445,1347.19169685468,4598.80384110753,4592.62480135628,4639.17318469927,27.1,43.4,71.1,93.4,108,"Crops"
"barranca Puente el Muerto:19.7043,-98.8001_-98.8001_19.7043",19.7043,-98.8001,3946.84247201374,3946.84247201374,3946.84247201374,3946.84247201374,4513.11112538098,24.7,41.2,67.5,83.1,100.2,"Crops"
"Capultitlan:19.6783,-98.8178_-98.8178_19.6783",19.6783,-98.8178,803.49784047333,3892.689525261,6813.07603913528,9933.19654883901,22037.9335496616,25.5,42.4,70.6,88.6,109.7,"Deserts"
"Cerro Colorado:19.6918,-98.8678_-98.8678_19.6918",19.6918,-98.8678,218.249372795677,302.571848444855,302.571848444855,302.571848444855,302.571848444855,33.1,61.8,95,119.8,117.1,"Deserts"
"Cerro Colorado:19.6918,-98.8678_-98.8705_19.6922",19.6922,-98.8705,508.273343552012,1402.97141141752,3300.63748656233,6199.52037692278,10792.5335272195,32.7,61.1,93.5,117.9,114.5,"Deserts"
"Cerro Colorado:19.6918,-98.8678_-98.8672_19.6997",19.6997,-98.8672,806.344949768454,1930.56923829001,4020.57215348177,NA,NA,33.4,62.3,96,121,118.7,"Deserts"
"Cerro Colorado:19.6918,-98.8678_-98.8656_19.6989",19.6989,-98.8656,2644.9439880834,2644.9439880834,2609.10570901985,2512.64930904403,NA,33.6,62.6,96.7,122.1,120.3,"Deserts"
"Cerro Gordo:19.7464,-98.8223_-98.8223_19.7464",19.7464,-98.8223,6757.40779152919,6816.56948412167,14834.7609122863,49997.3232882444,49996.4225634608,31.3,55.8,84.6,104.9,104.5,"Deserts"
